	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
One Two	Attack	power	1	Earth	opponent	1	1	One Two{desc}Deal {dmg} damage. ^Remove 1 Armor.	Earth		1	1	0.9	0	0	1	claws			Double crochet{desc}Inflige {dmg} point(s) de dégâts de terre. ^Réduit l'armure de 1.	Eins, zwei ...{desc}Verursache {dmg} Schaden. ^Entferne 1 Rüstung.	Doble Impacto{desc}Inflige {dmg} punto(s) de daño.^Elimina 1 punto de Armadura.	Um, Dois{desc}Causa {dmg} de dano. ^Remove 1 de Armadura.	组合拳{desc}造成{dmg}点伤害。^解除 1 点防御。	ワンツーパンチ{desc}{dmg}ダメージを与える。^アーマーを1減らす。	Раз-два{desc}Наносит {dmg} урона. ^Снимает 1 броню.
One Two+	Attack	power	2	Earth	opponent	1	2	One Two+{desc}Deal {dmg} damage. ^Remove 2 Armor.	Earth		0	1	0.9	0	0	2	claws			Double crochet+{desc}Inflige {dmg} point(s) de dégâts de terre. ^Réduit l'armure de 2.	Eins, zwei ...+{desc}Verursache {dmg} Schaden. ^Entferne 2 Rüstung.	Doble Impacto +{desc}Inflige {dmg} punto(s) de daño.^Elimina 2 puntos de Armadura.	Um, Dois+{desc}Causa {dmg} de dano. ^Remove 2 de Armadura.	组合拳+{desc}造成 {dmg} 点伤害。^解除 2 点防御。	ワンツーパンチ+{desc}{dmg}ダメージを与える。^アーマーを2減す。	Раз-два+{desc}Наносит {dmg} урона. ^Снимает 2 брони.
Brawl	Attack	power	1	Earth	opponents	2	1	Brawl{desc}Deal {dmg} damage to all enemies.	Earth		1	1	0.9	0	0	0	earth			Rixe{desc}Inflige {dmg} point(s) de dégâts de terre à tous les ennemis.	Prügelei{desc}Verursache {dmg} Schaden bei allen Gegnern.	Contienda{desc}Inflige {dmg} punto(s) de daño a todos los enemigos.	Pancadaria{desc}Causa {dmg} de dano a todos os inimigos.	乱斗{desc}对所有敌人造成{dmg}点伤害。	乱闘{desc}敵全体に{dmg}ダメージを与える。	Драка{desc}Наносит {dmg} урона всем противникам.
Brawl+	Attack	power	2	Earth	opponents	2	2	Brawl+{desc}Deal {dmg} damage to all enemies.	Earth		0	1	0.9	0	0	0	earth			Rixe+{desc}Inflige {dmg} point(s) de dégâts de terre à tous les ennemis.	Prügelei+{desc}Verursache {dmg} Schaden bei allen Gegnern.	Contienda +{desc}Inflige {dmg} punto(s) de daño a todos los enemigos.	Pancadaria+{desc}Causa {dmg} de dano a todos os inimigos.	乱斗+{desc}对所有敌人造成 {dmg} 点伤害。	乱闘+{desc}敵全体に{dmg}ダメージを与える。	Драка+{desc}Наносит {dmg} урона всем противникам.
Seeing Red	Skill			Earth	ally	1	3	Seeing Red{desc}Apply 3 [color=#5343EE]Rage[/color].		Rage:3	1	1	0.5	0	0	0	rage			Colère noire{desc}Applique 3 effets [color=#5343EE]Rage[/color].	Wutanfall{desc}Bewirke 3 [color=#5343EE]Zorn[/color].	Enajenación{desc}Provoca 3 acumulaciones de [color=#5343EE]Furia[/color].	Sangue Fervendo{desc}Aplica 3 de [color=#5343EE]Fúria[/color].	大怒{desc}施加 3 点[color=#5343EE]愤怒[/color]。	憤怒{desc}[color=#5343EE]激怒[/color]を3付与する。	Красная пелена{desc}Добавляет 3 [color=#5343EE]Ярости[/color].
Seeing Red+	Skill			Earth	ally	1	4	Seeing Red+{desc}Apply 4 [color=#5343EE]Rage[/color].		Rage:4	0	1	0.5	0	0	0	rage			Colère noire+{desc}Applique 4 effets [color=#5343EE]Rage[/color].	Wutanfall+{desc}Bewirke 4 [color=#5343EE]Zorn[/color].	Enajenación +{desc}Provoca 4 acumulaciones de [color=#5343EE]Furia[/color].	Sangue Fervendo+{desc}Aplica 4 de [color=#5343EE]Fúria[/color].	大怒+{desc}施加 4 点[color=#5343EE]愤怒[/color]。	憤怒+{desc}[color=#5343EE]激怒[/color]を4付与する。	Красная пелена+{desc}Добавляет 4 [color=#5343EE]Ярости[/color].
Drop kick	Attack	power	1	Earth	opponent	1	2	Drop Kick{desc}Deal {dmg} damage. ^Draw one Attack card from your draw or discard pile.	Earth		1	1	0.9	0	0	0	yellowStrike	Attack:1		Fauchage{desc}Inflige {dmg} point(s) de dégâts de terre. ^Pioche une carte Attaque dans ta pioche ou ta défausse.	Dropkick{desc}Verursache {dmg} Schaden. ^Ziehe 1 Angriffskarte von deinem Nachzieh- oder Ablagestapel.	Patada Voladora{desc}Inflige {dmg} punto(s) de daño.^Roba una carta de ataque del mazo o la pila de descartes.	Chute Aéreo{desc}Causa {dmg} de dano. ^Compra uma carta de ataque da sua pilha de compras ou de descarte.	飞踢{desc}造成{dmg}点伤害。^从你的抽牌堆或弃牌堆中抽 1 张攻击牌。	ドロップキック{desc}{dmg}ダメージを与える。^山札か捨て札から「アタック」カードを1枚引く。	Удар с разворота{desc}Наносит {dmg} урона.^Получите одну карту Атаки из колоды или стопки сброса.
Drop kick+	Attack	power	1	Earth	opponent	1	3	Drop Kick+{desc}Deal {dmg} damage. ^Draw two Attack cards from your draw or discard pile.	Earth		0	1	0.9	0	0	0	yellowStrike	Attack:2		Fauchage+{desc}Inflige {dmg} point(s) de dégâts de terre. ^Pioche 2 cartes Attaque dans ta pioche ou ta défausse.	Dropkick+{desc}Verursache {dmg} Schaden. ^Ziehe 2 Angriffskarten von deinem Nachzieh- oder Ablagestapel.	Patada Voladora +{desc}Inflige {dmg} punto(s) de daño.^Roba dos cartas de ataque del mazo o la pila de descartes.	Chute Aéreo+{desc}Causa {dmg} de dano. ^Compra duas cartas de ataque da sua pilha de compras ou de descarte.	飞踢+{desc}造成 {dmg} 点伤害。^从你的抽牌堆或弃牌堆中抽 2 张攻击牌。	ドロップキック+{desc}{dmg}ダメージを与える。^山札か捨て札から「アタック」カードを1枚引く。	Удар с разворота+{desc}Наносит {dmg} урона.^Получите две карты Атаки из колоды или стопки сброса.
Fallen Foe	Attack	power	1	Earth	opponent	1	2	Fallen Foe{desc}Deal {dmg} Earth damage. ^If target is banished, refill your Energy.	Earth		1	1	0.9	0	0	0	redMulti			Au tapis{desc}Inflige {dmg} point(s) de dégâts de terre. ^Si la cible est bannie, ton énergie se recharge.	Gefallener Feind{desc}Verursache {dmg} Erdschaden. ^Wenn das Ziel gebannt ist, fülle deine Energie wieder auf.	Enemigo Caído{desc}Inflige {dmg} punto(s) de daño de tierra.^Si destierras al objetivo, recuperas la energía.	Inimigo Caído{desc}Causa {dmg} de dano de Terra. ^Se o alvo for banido, recarrega sua Energia.	敌人倒下{desc}造成{dmg}点土系伤害。^如果目标被驱逐，可补充你的能源。	倒れた敵{desc}{dmg}土ダメージを与える。^敵を倒した場合、エネルギーが回復する。	Павший враг{desc}Наносит {dmg} земляного урона. Если противник повержен, восстанавливает вашу энергию.
Fallen Foe+	Attack	power	2	Earth	opponent	1	3	Fallen Foe+{desc}Deal {dmg} Earth damage. ^If target is banished, refill your Energy.	Earth		0	1	0.9	0	0	0	redMulti			Au tapis+{desc}Inflige {dmg} point(s) de dégâts de terre. ^Si la cible est bannie, ton énergie se recharge.	Gefallener Feind+{desc}Verursache {dmg} Erdschaden. ^Wenn das Ziel gebannt ist, fülle deine Energie wieder auf.	Enemigo Caído +{desc}Inflige {dmg} punto(s) de daño de tierra.^Si destierras al objetivo, recuperas la energía.	Inimigo Caído+{desc}Causa {dmg} de dano de Terra. ^Se o alvo for banido, recarrega sua Energia.	敌人倒下+{desc}造成 {dmg} 点土系伤害。^如果目标被驱逐，可补充你的能源。	倒れた敵+{desc}{dmg}土ダメージを与える。^敵を倒した場合、エネルギーが回復する。	Павший враг+{desc}Наносит {dmg} земляного урона. Если противник повержен, восстанавливает вашу энергию.
Secret Move	Attack	power	2	Earth	opponents	2	5	Secret Move{desc}Deal {dmg} Earth damage ^Remove five Armor from all enemies. 	Earth		0	1	0.9	1	0	5	erupt			Botte secrète{desc}Inflige {dmg} point(s) de dégâts de terre.^Réduit l'armure de tous les ennemis de 5.	Ass im Ärmel{desc}Verursache {dmg} Erdschaden. ^Entferne 5 Rüstung von allen Gegnern.	Jugada Secreta{desc}Inflige {dmg} punto(s) de daño de tierra.^Elimina cinco puntos de Armadura a todos los enemigos.	Jogada Oculta{desc}Causa {dmg} de dano de Terra ^Remove cinco de Armadura de todos os inimigos.	秘密动作{desc}造成{dmg}点土系伤害^解除所有敌人 5 点防御。	隠密行動{desc}{dmg}土ダメージを与える。^敵全体のアーマーを5減らす。	Секретный прием{desc}Наносит {dmg} земляного урона.^Снимает пять брони со всех противников.
Focus	Skill			Earth	allies	1	1	Focus{desc}Reduce the cost of all Tackle cards to 0 for this turn.			1	0	0.5	0	0	0	yellowCircle			Concentration{desc}Réduit le coût de toutes les cartes Plaquage à 0 pour ce tour.	Fokus{desc}Senke die Kosten aller Stoßkarten für diesen Zug auf 0.	Concentración{desc}Reduce a 0 el coste de todas las cartas Placaje durante este turno.	Foco{desc}Reduz o custo de todas as cartas de investida para 0 nesse turno.	聚焦{desc}在本回合内，将所有阻截卡的消耗降为 0。	集中{desc}このターン中、すべての「たいあたり」カードのコストがかからない。	Маневр{desc}Снижает стоимость всех карт Удар до 0 на этот ход.
Focus+	Skill			Earth	allies	1	2	Focus+{desc}Reduce the cost of all Tackle cards in your deck to 0 for the rest of combat. 			0	0	0.5	1	0	0	yellowCircle			Concentration+{desc}Réduit le coût de toutes les cartes Plaquage de ton deck à 0 pour le reste du combat.	Fokus+{desc}Senke die Kosten aller Stoßkarten in deinem Deck für den Rest des Kampfs auf 0.	Concentración +{desc}Reduce a 0 el coste de todas las cartas Placaje de tu mazo para el resto del combate.	Foco+{desc}Reduz o custo de todas as cartas de Investida no seu baralho para 0 pelo resto do combate.	聚焦+{desc}将你的卡组中所有阻截卡的消耗降为 0，持续到战斗结束。	集中+{desc}ターンの残りの間、自分のデッキにある「たいあたり」カードすべてのコストが0に減る。	Маневр+{desc}Снижает стоимость всех карт Удар в вашей колоде до 0 до конца боя.
Avalanche	Attack	power	3	Earth	opponent	3	2	Avalanche{desc}Deal {dmg} Earth damage. 	Earth		1	1	0.9	1	0	0	earth			Avalanche{desc}Inflige {dmg} point(s) de dégâts de terre.	Lawine{desc}Verursache {dmg} Erdschaden.	Avalancha{desc}Inflige {dmg} punto(s) de daño de tierra.	Avalanche{desc}Causa {dmg} de dano de Terra.	雪崩{desc}造成{dmg}点土系伤害。	なだれ{desc}{dmg}土ダメージを与える。	Оползень{desc}Наносит {dmg} земляного урона.
Avalanche+	Attack	power	3	Earth	opponent	3	3	Avalanche+{desc}Deal {dmg} Earth damage.	Earth		0	1	0.9	0	1	0	earth			Avalanche+{desc}Inflige {dmg} point(s) de dégâts de terre.	Lawine+{desc}Verursache {dmg} Erdschaden.	Avalancha +{desc}Inflige {dmg} punto(s) de daño de tierra.	Avalanche+{desc}Causa {dmg} de dano de Terra.	雪崩+{desc}造成 {dmg} 点土系伤害。	なだれ+{desc}{dmg}土ダメージを与える。	Оползень+{desc}Наносит {dmg} земляного урона.
																										
																										
								// Shop only cards																		
Somersault	Attack	power	1	Earth	opponent	1	21	Somersault{desc}Deal {dmg} damage. Put a copy of this card into your draw pile.	Earth		1	0	2	0	0	0	hit			Pirouette{desc}Inflige {dmg} point(s) de dégâts. Place une copie de cette carte dans ta pioche.	Salto{desc}Verursache {dmg} Schaden. Lege eine Kopie dieser Karte in deinen Nachziehstapel.	Salto Mortal{desc}Inflige {dmg} punto(s) de daño. Coloca una carta igual a esta en tu mazo.	Cambalhota{desc}Causa {dmg} de dano. Coloque uma cópia desta carta na sua pilha de compras.	筋斗翻袭{desc}造成{dmg}点伤害，并将此卡牌复制入你的抽牌堆中。	宙返り{desc}{dmg}ダメージを与える。このカードの複製が1枚、山札に追加される。	Сальто{desc}Наносит {dmg} урона. Помещает копию этой карты в вашу колоду.
Somersault+	Attack	power	2	Earth	opponent	1	22	Somersault+{desc}Deal {dmg} damage. Put a copy of this card into your draw pile.	Earth		0	0	2	0	0	0	hit			Pirouette+{desc}Inflige {dmg} point(s) de dégâts. Place une copie de cette carte dans ta pioche.	Salto+{desc}Verursache {dmg} Schaden. Lege eine Kopie dieser Karte in deinen Nachziehstapel.	Salto Mortal+{desc}Inflige {dmg} punto(s) de daño. Coloca una carta igual a esta en tu mazo.	Cambalhota+{desc}Causa {dmg} de dano. Coloque uma cópia desta carta na sua pilha de compras.	筋斗翻袭+{desc}造成{dmg}点伤害，并将此卡牌复制入你的抽牌堆中。	宙返り+{desc}{dmg}ダメージを与える。このカードの複製が1枚、山札に追加される。	Сальто+{desc}Наносит {dmg} урона. Помещает копию этой карты в вашу колоду.
Open Hand	Skill			Earth	player	1	21	Open Hand{desc}If you have [color=#5343EE]Rage[/color] applied, draw 2 cards, otherwise draw 1 card.			1	0	2	0	1	0	yellowCircle			Main ouverte{desc}Si l'un de tes esprits possède l'effet [color=#5343EE]Rage[/color], tu pioches 2 cartes. Sinon, tu en pioches une seule.	Offene Hand{desc}Wenn [color=#5343EE]Zorn[/color] in Kraft ist, ziehe 2 Karten, ansonsten 1 Karte.	Mano Abierta{desc}Si sufres [color=#5343EE]Furia[/color], robas 2 cartas; en caso contrario, robas 1.	Mão Aberta{desc}Se [color=#5343EE]Fúria[/color] estiver aplicada, compre 2 cartas; se não, compre 1 carta.	愤怒之握{desc}当你处于[color=#5343EE]愤怒[/color]状态时，抽取 2 张卡牌，否则抽取 1 张卡牌。	平手{desc}[color=#5343EE]激怒[/color]が付与されている場合は2枚、それ以外の場合は1枚のカードを引く。	Открытая ладонь{desc}Если у вас есть [color=#5343EE]Ярость[/color], получите 2 карты, иначе получите 1 карту.
Open Hand+	Skill			Earth	player	1	22	Open Hand+{desc}If you have [color=#5343EE]Rage[/color] applied, draw 3 cards, otherwise draw 1 card.			0	0	2	0	1	0	yellowCircle			Main ouverte+{desc}Si l'un de tes esprits possède l'effet [color=#5343EE]Rage[/color], tu pioches 3 cartes. Sinon, tu en pioches une seule.	Offene Hand+{desc}Wenn [color=#5343EE]Zorn[/color] in Kraft ist, ziehe 3 Karten, ansonsten 1 Karte.	Mano Abierta +{desc}Si sufres [color=#5343EE]Furia[/color], robas 3 cartas; en caso contrario, robas 1.	Mão Aberta+{desc}Se [color=#5343EE]Fúria[/color] estiver aplicada, compre 3 cartas; se não, compre 1 carta.	愤怒之握＋{desc}当你处于[color=#5343EE]愤怒[/color]状态时，抽取 3 张卡牌，否则抽取 1 张卡牌。	平手+{desc}[color=#5343EE]激怒[/color]が付与されている場合は3枚、それ以外の場合は1枚のカードを引く。	Открытая ладонь+{desc}Если у вас есть [color=#5343EE]Ярость[/color], получите 3 карты, иначе получите 1 карту.
Very Angry	Attack	power	1	Earth	opponent	1	23	Very Angry{desc}Deal {dmg} damage for every [color=#5343EE]Rage[/color] applied to yourself.	Earth		1	0	2	0	0	0	redBurst			Fureur{desc}Inflige {dmg} point(s) de dégâts par effet [color=#5343EE]Rage[/color] appliqué à l'esprit.	Große Wut{desc}Verursache {dmg} Schaden für jeden [color=#5343EE]Zorn[/color] auf dir in Kraft.	Enfado Monumental{desc}Inflige {dmg} punto(s) de daño por cada acumulación de [color=#5343EE]Furia[/color] que sufras.	Irritadaço{desc}Causa {dmg} de dano a cada [color=#5343EE]Fúria[/color] aplicada a si.	愤怒连击{desc}根据施加于自身的[color=#5343EE]愤怒[/color]点数，造成{dmg}点土系伤害。	激高{desc}自身に付与されている[color=#5343EE]激怒[/color]1つにつき、{dmg}つちダメージを与える。	Гнев{desc}Наносит {dmg} урона за каждую единицу [color=#5343EE]Ярости[/color] у этого Духа.
Very Angry+	Attack	power	1.5	Earth	opponent	1	24	Very Angry+{desc}Deal {dmg} damage for every [color=#5343EE]Rage[/color] applied to yourself.	Earth		0	0	2	0	0	0	redBurst			Fureur+{desc}Inflige {dmg} point(s) de dégâts par effet [color=#5343EE]Rage[/color] appliqué à l'esprit.	Große Wut{desc}Verursache {dmg} Schaden für jeden [color=#5343EE]Zorn[/color] auf dir in Kraft.	Enfado Monumental+{desc}Inflige {dmg} punto(s) de daño por cada acumulación de [color=#5343EE]Furia[/color] que sufras.	Irritadaço+{desc}Causa {dmg} de dano a cada [color=#5343EE]Fúria[/color] aplicada a si.	愤怒连击+{desc}根据施加于自身的[color=#5343EE]愤怒[/color]点数，造成{dmg}点土系伤害。	激高+{desc}自身に付与されている[color=#5343EE]激怒[/color]1つにつき、{dmg}つちダメージを与える。	Гнев+{desc}Наносит {dmg} урона за каждую единицу [color=#5343EE]Ярости[/color] у этого Духа.
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										

	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	
																										
																										
Waterfall	Attack	power	1	Water	opponent	1	1	Waterfall{desc}Deal {dmg} Water damage.	Water		1	1	0.6	0	0	0	blueBall			Cascade{desc}Inflige {dmg} point(s) de dégâts d'eau.	Wasserfall{desc}Verursache {dmg} Wasserschaden.	Cascada{desc}Inflige {dmg} punto(s) de daño de agua.	Cachoeira{desc}Causa {dmg} de dano de Água.	瀑布{desc}造成{dmg}点水系伤害。	滝{desc}{dmg}水ダメージを与える。	Водопад{desc}Наносит {dmg} водяного урона.
Waterfall+	Attack	power	2	Water	opponent	1	2	Waterfall+{desc}Deal {dmg} Water damage.	Water		0	1	0.8	0	0	0	blueBall			Cascade+{desc}Inflige {dmg} point(s) de dégâts d'eau.	Wasserfall+{desc}Verursache {dmg} Wasserschaden.	Cascada +{desc}Inflige {dmg} punto(s) de daño de agua.	Cachoeira+{desc}Causa {dmg} de dano de Água.	瀑布+{desc}造成 {dmg} 点水系伤害。	滝+{desc}{dmg}水ダメージを与える。	Водопад+{desc}Наносит {dmg} водяного урона.
Tidal Wave	Attack	power	1	Water	opponents	2	3	Tidal Wave{desc}Deal {dmg} Water damage to all enemies.	Water		1	1	2	0	0	0	water			Raz-de-marée{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis.	Flutwelle{desc}Verursache {dmg} Wasserschaden bei allen Gegnern.	Maremoto{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos.	Maremoto{desc}Causa {dmg} de dano de Água a todos os inimigos.	潮汐波{desc}对所有敌人造成{dmg}点水系伤害。	大津波{desc}敵全体に{dmg}水ダメージを与える。	Приливная волна{desc}Наносит {dmg} водяного урона всем врагам.
Tidal Wave+	Attack	power	2	Water	opponents	2	4	Tidal Wave+{desc}Deal {dmg} Water damage to all enemies.	Water		0	1	2	0	0	0	water			Raz-de-marée+{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis.	Flutwelle+{desc}Verursache {dmg} Wasserschaden bei allen Gegnern.	Maremoto +{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos.	Maremoto+{desc}Causa {dmg} de dano de Água a todos os inimigos.	潮汐波+{desc}对所有敌人造成 {dmg} 点水系伤害。	大津波+{desc}敵全体に{dmg}水ダメージを与える。	Приливная волна+{desc}Наносит {dmg} водяного урона всем врагам.
Water Balloon	Attack	power	0.5	Water	opponents	1	3	Water Balloon{desc}Remove one Armor and deal {dmg} Water damage to all enemies.	Water		1	1	2	0	0	1	blueBall			Bombe à eau{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis et réduit leur armure de 1.	Wasserballon{desc}Entferne 1 Rüstung und verursache {dmg} Wasserschaden bei allen Gegnern.	Globo de Agua{desc}Elimina un punto de Armadura e inflige {dmg} punto(s) de daño de agua a todos los enemigos.	Balão d'Água{desc}Remove 1 de Armadura e causa {dmg} de dano de Água a todos os inimigos.	水球{desc}对所有敌人解除 1 点防御，并造成{dmg}点水系伤害。	水風船{desc}敵全体のアーマーを1減らし、{dmg}水ダメージを与える。	Водяная бомба{desc}Снимает одну броню и наносит {dmg} водяного урона всем врагам.
Water Balloon+	Attack	power	0.5	Water	opponents	1	4	Water Balloon+{desc}Remove two Armor and deal {dmg} Water damage to all enemies.	Water		0	1	2	0	0	2	blueBall			Bombe à eau+{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis et réduit leur armure de 2.	Wasserballon+{desc}Entferne 2 Rüstung und verursache {dmg} Wasserschaden bei allen Gegnern.	Globo de Agua +{desc}Elimina dos puntos de Armadura e inflige {dmg} punto(s) de daño de agua a todos los enemigos.	Balão d'Água+{desc}Remove 2 de Armadura e causa {dmg} de dano de Água a todos os inimigos.	水球+{desc}对所有敌人解除 2 点防御，并造成 {dmg} 点水系伤害。	水風船+{desc}敵全体のアーマーを2減らし、{dmg}水ダメージを与える。	Водяная бомба+{desc}Снимает две брони и наносит {dmg} водяного урона всем врагам.
Soak	Attack	power	1	Water	opponents	2	1	Soak{desc}Deal {dmg} Water damage to all enemies twice. 	Water*2		1	1	1	1	0	0	blueBolt			Inondation{desc}Inflige {dmg} point(s) de dégâts d'eau à 2 reprises à tous les ennemis.	Durchnässen{desc}Verursache zweimal {dmg} Wasserschaden bei allen Gegnern.	Remojón{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos dos veces.	Encharcar{desc}Causa {dmg} de dano de Água a todos os inimigos duas vezes.	浸泡{desc}对所有敌人造成 2 次{dmg}点水系伤害。	ずぶぬれ{desc}敵全体に{dmg}水ダメージを2回与える。	Сырость{desc}Наносит {dmg} водяного урона всем врагам дважды.
Soak+	Attack	power	1	Water	opponents	2	2	Soak+{desc}Deal {dmg} Water damage to all enemies three times. 	Water*3		0	1	1	1	0	0	blueBolt			Inondation+{desc}Inflige {dmg} point(s) de dégâts d'eau à 3 reprises à tous les ennemis.	Durchnässen+{desc}Verursache dreimal {dmg} Wasserschaden bei allen Gegnern.	Remojón +{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos tres veces.	Encharcar+{desc}Causa {dmg} de dano de Água a todos os inimigos três vezes.	浸泡+{desc}对所有敌人造成 3 次 {dmg} 点水系伤害。	ずぶぬれ+{desc}敵全体に{dmg}水ダメージを3回与える。	Сырость+{desc}Наносит {dmg} водяного урона всем врагам три раза.
Riptide	Attack	power	0.5	Water	opponents	2	1	Riptide{desc}Deal {dmg} Water damage to all enemies. ^Draw one card.	Water		1	1	1	0	1	0	water	1		Déferlante{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis. ^Pioche une carte.	Sturmflut{desc}Verursache {dmg} Wasserschaden bei allen Gegnern. ^Ziehe 1 Karte.	Contracorriente{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos.^Roba una carta.	Correnteza{desc}Causa {dmg} de dano de Água a todos os inimigos. ^Compra uma carta.	激流{desc}对所有敌人造成{dmg}点水系伤害。^抽 1 张牌。	激流{desc}敵全体に{dmg}水ダメージを与える。^カードを1枚引く。	Приливное течение{desc}Наносит {dmg} водяного урона всем врагам.^Получите одну карту.
Riptide+	Attack	power	0.5	Water	opponents	2	2	Riptide+{desc}Deal {dmg} Water damage to all enemies. ^Draw two cards.	Water		0	1	1	0	1	0	water	2		Déferlante+{desc}Inflige {dmg} point(s) de dégâts d'eau à tous les ennemis. ^Pioche 2 cartes.	Sturmflut+{desc}Verursache {dmg} Wasserschaden bei allen Gegnern. ^Ziehe 2 Karten.	Contracorriente +{desc}Inflige {dmg} punto(s) de daño de agua a todos los enemigos.^Roba dos cartas.	Correnteza+{desc}Causa {dmg} de dano de Água a todos os inimigos ^Compra duas cartas.	激流+{desc}对所有敌人造成 {dmg} 点带电伤害。^抽 2 张牌。	激流+{desc}敵全体に{dmg}水ダメージを与える。^カードを2枚引く。	Приливное течение+{desc}Наносит {dmg} водяного урона всем врагам.^Получите две карты.
Ablution	Skill			Water	anyone	0	2	Ablution{desc}Remove half of all conditions from one target.			1	0	0.5	0	0	0	hpRain			Purification{desc}Supprime la moitié des effets de la cible.	Reinwaschen{desc}Halbiere die Effekte der Zustände eines Ziels.	Lavado{desc}Elimina la mitad de los estados provocados a un objetivo.	Lavagem{desc}Remove metade dos efeitos de um alvo.	洗礼{desc}使一个目标的所有状态解除一半。	洗浄{desc}ターゲット1体のバフ・デバフ効果をすべて半分に減らす。	Омовение{desc}Снимает половину всех эффектов с одного противника.
Ablution+	Skill			Water	anyone	0	3	Ablution+{desc}Remove all conditions from one target.			0	0	0.3	0	0	0	hpRain			Purification+{desc}Supprime tous les effets de la cible.	Reinwaschen+{desc}Entferne alle Zustände eines Ziels.	Lavado +{desc}Elimina el efecto de todos los estados provocados a un objetivo.	Lavagem+{desc}Remove todos os efeitos de um alvo.	洗礼+{desc}使一个目标解除所有状态。	洗浄+{desc}ターゲット1体のバフ・デバフ効果をすべて取り除く。	Омовение+{desc}Снимает все эффекты с одного противника.
Holy Water	Skill			Water	allies	0	2	Holy Water{desc}Remove half of all conditions from all allies.			1	1	0.5	0	0	0	hpRain			Eau bénite{desc}Supprime la moitié des effets de tous les alliés.	Weihwasser{desc}Halbiere die Effekte der Zustände aller Verbündeten.	Agua Bendita{desc}Elimina la mitad de los estados provocados a todos los aliados.	Água Benta{desc}Remove metade dos efeitos de todos os aliados.	圣水{desc}使所有盟友的所有状态解除一半。	聖水{desc}味方全体のバフ・デバフ効果をすべて半分に減らす。	Святая вода{desc}Снимает половину всех эффектов со всех союзников.
Holy Water+	Skill			Water	allies	0	3	Holy Water+{desc}Remove all conditions from all allies.			0	1	0.3	0	0	0	hpRain			Eau bénite+{desc}Supprime tous les effets de tous les alliés.	Weihwasser+{desc}Entferne alle Zustände aller Verbündeten.	Agua Bendita +{desc}Elimina todos los estados de todos los aliados.	Água Benta+{desc}Remove todos os efeitos de todos os aliados.	圣水+{desc}使所有盟友解除所有状态。	聖水+{desc}味方全体のバフ・デバフ効果をすべて取り除く。	Святая вода+{desc}Снимает все эффекты со всех союзников.
Regen	Skill	power	0.5	Water	ally	1	1	Regen{desc}Apply {cnd} [color=#5343EE]Regen[/color].		Regen	1	1	0.3	0	0	0	cure			Régénération{desc}Applique {cnd} effet(s) [color=#5343EE]Régénération[/color].	Regeneration{desc}Bewirke {cnd} [color=#5343EE]Regeneration[/color].	Regeneración{desc}Provoca {cnd} [color=#5343EE]Regeneración[/color].	Regeneração{desc}Aplica {cnd} [color=#5343EE]Regeneração[/color].	再生{desc}施加{cnd}[color=#5343EE]再生[/color]。	再生{desc}{cnd} [color=#5343EE]再生[/color]を付与する。	Лечение{desc}Добавляет {cnd} [color=#5343EE]Лечения[/color].
Regen+	Skill	power	1	Water	ally	1	2	Regen+{desc}Apply {cnd} [color=#5343EE]Regen[/color].		Regen	0	1	0.5	0	0	0	cure			Régénération+{desc}Applique {cnd} effet(s) [color=#5343EE]Régénération[/color].	Regeneration+{desc}Bewirke {cnd} [color=#5343EE]Regeneration[/color].	Regeneración +{desc}Provoca {cnd} [color=#5343EE]Regeneración[/color].	Regeneração+{desc}Aplica {cnd} [color=#5343EE]Regeneração[/color].	再生+{desc}施加 {cnd} [color=#5343EE]再生[/color]。	再生+{desc}{cnd} [color=#5343EE]再生[/color]を付与する。	Лечение+{desc}Добавляет {cnd} [color=#5343EE]Лечения[/color].
